time G_t
0.0 0.0003909884666666667
0.005 0.00032435266666666667
0.01 0.0001628874
0.015 
0.02 
0.025 
0.03 0.00012112281333333334
0.035 0.0002680761333333333
0.04 0.0003293756
0.045 0.0002669260333333333
0.05 0.00011438877333333334
0.055 
0.06 
0.065 
0.07 6.373359000000001e-05
0.075 0.000212148
0.08 0.0002567645
0.09 0.00010409659333333334
0.1 
0.11 6.069582933333333e-05
0.12 0.00026264993333333336
0.13 0.0001225102
0.14 
0.15 3.668634600000001e-05
0.16 0.00014673822666666668
0.18 
0.2 0.00012242298666666668
0.22 
0.24 0.00013041514666666665
0.26 
0.28 0.00013553144
0.3 
0.32 5.220927406666667e-05
0.36 5.4810280666666664e-05
0.4 6.913059666666666e-05
0.44 5.9272127333333335e-05
0.48 5.327548533333334e-05
0.52 6.294394666666667e-05
0.56 5.8770742666666664e-05
0.6 5.184550328666667e-05
0.64 5.6112238666666665e-05
0.72 5.535551666666667e-05
0.8 5.7655412e-05
0.88 5.5622281999999995e-05
0.96 5.611416000000001e-05
1.04 5.5994209333333334e-05
1.12 5.519197533333333e-05
1.2 5.602167933333334e-05
1.28 5.544808333333333e-05
1.44 5.5295144666666665e-05
1.6 5.513348e-05
1.76 5.496581133333334e-05
1.92 5.480011e-05
2.08 5.4724099333333334e-05
2.24 5.4614866000000005e-05
2.4 5.451380266666667e-05
2.56 5.4419657333333336e-05
2.88 5.430654066666667e-05
3.2 5.4186929999999997e-05
3.52 5.4131515333333326e-05
3.84 5.404840533333334e-05
4.16 5.3954978e-05
4.48 5.388329466666667e-05
4.8 5.382257533333334e-05
5.12 5.3780093333333334e-05
5.76 5.3658174e-05
6.4 5.3626370666666656e-05
7.04 5.3516578666666675e-05
7.68 5.343718066666667e-05
8.32 5.339647e-05
8.96 5.331103599999999e-05
9.6 5.331147533333333e-05
10.24 5.327317200000001e-05
11.52 5.3159040666666666e-05
12.8 5.3131646000000004e-05
14.08 5.307021866666667e-05
15.36 5.303295333333333e-05
16.64 5.296485906666666e-05
17.92 5.2913493200000005e-05
19.2 5.287485106666667e-05
20.48 5.2867745000000005e-05
23.04 5.283140553333333e-05
25.6 5.28000532e-05
28.16 5.273042413333333e-05
30.72 5.270906093333333e-05
33.28 5.2667839266666664e-05
35.84 5.267833246666667e-05
38.4 5.263248979999999e-05
40.96 5.26305888e-05
46.08 5.2585872800000004e-05
51.2 5.2581771733333336e-05
56.32 5.256636926666667e-05
61.44 5.2521604800000006e-05
66.56 5.24980892e-05
71.68 5.250590946666667e-05
76.8 5.246564546666667e-05
81.92 5.2461325e-05
92.16 5.243753853333333e-05
102.4 5.243205993333332e-05
112.64 5.24137016e-05
122.88 5.2412412199999996e-05
133.12 5.24049342e-05
143.36 5.23766322e-05
153.6 5.23693058e-05
163.84 5.236115926666668e-05
184.32 5.235380426666667e-05
204.8 5.235275033333333e-05
225.28 5.2370058999999996e-05
245.76 5.232862620000001e-05
266.24 5.230998586666666e-05
286.72 5.2319097799999996e-05
307.2 5.2345691e-05
327.68 5.2327423666666666e-05
368.64 5.2290717799999997e-05
409.6 5.229632686666666e-05
450.56 5.228619399999999e-05
491.52 5.230152273333333e-05
532.48 5.2291968266666666e-05
573.44 5.2278903800000006e-05
614.4 5.2281405066666674e-05
655.36 5.227254453333333e-05
737.28 5.227091226666667e-05
819.2 5.2242950000000004e-05
901.12 5.22590374e-05
983.04 5.224267973333334e-05
1064.96 5.22346522e-05
1146.88 5.223236946666667e-05
1228.8 5.2235298800000005e-05
1310.72 5.22413042e-05
1474.56 5.224469893333333e-05
1638.4 5.2223326066666666e-05
1802.24 5.221041693333334e-05
1966.08 5.2212423733333334e-05
2129.92 5.222916726666666e-05
2293.76 5.22192946e-05
2457.6 5.220516553333333e-05
2621.44 5.220429973333333e-05
2949.12 5.21944836e-05
3276.8 5.217939993333334e-05
3604.48 5.2158826333333334e-05
3932.16 5.212088513333334e-05
4259.84 5.213154253333333e-05
4587.52 5.211187813333333e-05
4915.2 5.210278633333334e-05
5242.88 5.210727606666666e-05
5898.24 5.2105113e-05
6553.6 5.2089231866666664e-05
7208.96 5.2090526e-05
7864.32 5.207744633333334e-05
8519.68 5.2048126800000005e-05
9175.04 5.205024446666667e-05
9830.4 5.203946753333333e-05
10485.8 5.21230736e-05
11796.5 5.20730798e-05
13107.2 5.20605718e-05
14417.9 5.20072662e-05
15728.6 5.1987725266666665e-05
17039.4 5.191220673333334e-05
18350.1 5.1925186593333336e-05
19660.8 5.190115413333333e-05
20971.5 5.2024364800000004e-05
23593.0 5.19983178e-05
26214.4 5.202041126666666e-05
28835.8 5.191054633333333e-05
31457.3 5.193443926666666e-05
34078.7 5.195896053333334e-05
36700.2 5.1914966133333334e-05
39321.6 5.184090849333333e-05
41943.0 5.2101549304000006e-05
47185.9 5.187373440666667e-05
52428.8 5.15248483e-05
57671.7 5.108360445333334e-05
62914.6 5.066341169866667e-05
68157.4 5.032184284666666e-05
73400.3 5.0025695819999997e-05
78643.2 4.957970493333333e-05
83886.1 4.973588606666667e-05
94371.8 4.972148666666667e-05
104858.0 4.92701836e-05
