time G_t
0.96 2.983408e-06
1.04 2.8128626666666667e-06
1.12 2.8708106666666666e-06
1.2 2.8694733333333332e-06
1.28 2.6753446666666662e-06
1.44 2.4404609999999997e-06
1.6 2.3746883333333335e-06
1.76 2.253904e-06
1.92 2.0997503333333332e-06
2.08 2.0025496666666664e-06
2.24 1.910910333333333e-06
2.4 1.8706483333333331e-06
2.56 1.7890393333333333e-06
2.88 1.6946296666666667e-06
3.2 1.5427379999999998e-06
3.52 1.4951506666666667e-06
3.84 1.3441986666666668e-06
4.16 1.286507666666667e-06
4.48 1.2787866666666667e-06
4.8 1.2185756666666667e-06
5.12 1.1543753333333334e-06
5.76 1.0580763333333334e-06
6.4 1.00731e-06
7.04 9.307317333333334e-07
7.68 9.216626666666667e-07
8.32 8.242899333333332e-07
8.96 7.919814e-07
9.6 8.130434666666666e-07
10.24 7.504740666666666e-07
11.52 6.735625333333332e-07
12.8 6.487105333333333e-07
14.08 5.853692e-07
15.36 5.437106e-07
16.64 5.481678666666667e-07
17.92 4.840470666666667e-07
19.2 5.082423333333333e-07
20.48 4.810037999999999e-07
23.04 4.412346666666667e-07
25.6 3.8863539999999995e-07
28.16 3.9031533333333333e-07
30.72 3.5367593333333334e-07
33.28 3.0742030000000007e-07
35.84 2.7576499999999996e-07
38.4 2.8396446666666666e-07
40.96 2.776115666666667e-07
46.08 2.7768423333333334e-07
51.2 2.6963999999999997e-07
56.32 2.3215473333333334e-07
61.44 2.2777970000000002e-07
66.56 1.8212416666666667e-07
71.68 1.9664249999999998e-07
76.8 1.9527466666666666e-07
81.92 1.64413e-07
92.16 1.481017e-07
102.4 1.6560626666666667e-07
112.64 1.5879926666666668e-07
122.88 1.2696056666666669e-07
133.12 1.1106817333333333e-07
143.36 1.188677e-07
153.6 1.219424e-07
163.84 1.1500917999999999e-07
184.32 9.512449333333334e-08
204.8 6.755201333333333e-08
225.28 5.392674000000001e-08
245.76 6.748322333333334e-08
266.24 5.0919246666666665e-08
286.72 4.0709886333333334e-08
307.2 4.0122586666666666e-08
327.68 4.510351666666667e-08
368.64 4.860025333333333e-08
409.6 5.582965333333333e-08
450.56 3.582850999999999e-08
491.52 4.5688819999999995e-08
532.48 4.345654866666667e-08
573.44 2.7701773333333335e-08
614.4 3.33225878e-08
655.36 2.528155666666667e-08
737.28 1.79637535e-08
819.2 
