# Time-averaged data for fix 2
# TimeStep c_thermo_press[4]
0 -0.0131005
10 -0.00818081
20 0.0168822
30 0.0130573
40 -0.0155132
50 -0.014465
60 0.0047468
70 0.0036594
80 -0.0127227
90 -0.00910739
100 0.0139805
110 0.0172647
120 -0.00493781
130 -0.00873562
140 0.00888603
150 0.00717226
160 -0.0169982
170 -0.0297649
180 -0.00697218
190 0.00945754
200 -0.00453977
210 -0.0177839
220 0.00421743
230 0.0188498
240 0.00701598
250 -0.00355534
260 0.00492308
270 0.0201435
280 0.0132692
290 -0.0174018
300 -0.022828
310 0.00985858
320 0.0155465
330 -0.00848145
340 -0.0183354
350 0.00672736
360 0.0205115
370 0.00917997
380 -0.00555494
390 0.0086342
400 0.0156786
410 -0.00383936
420 -0.025396
430 -0.0217718
440 0.00253901
450 0.00867246
460 -0.00398506
470 -0.0117389
480 0.00355795
490 0.00809876
500 -0.00222699
510 -0.0138847
520 -0.0184112
530 -0.0180412
540 -0.0124412
550 -0.00855812
560 -0.00632912
570 0.00828401
580 0.0113299
590 -0.00411747
600 -0.0133786
610 -0.00364115
620 -0.00301808
630 -0.0255591
640 -0.0413085
650 -0.0186502
660 0.0126038
670 -0.000312292
680 -0.0174534
690 -0.000554419
700 0.0192197
710 0.00566575
720 -0.0136217
730 -0.00971768
740 0.0128201
750 0.01712
760 0.00569683
770 0.00496636
780 0.0181045
790 0.0160105
800 -0.00183712
810 -0.00639037
820 0.00238315
830 0.00101013
840 -0.00846439
850 -4.55022e-05
860 0.00918486
870 0.00986525
880 0.00676661
890 0.00600533
900 -0.00469559
910 -0.0184461
920 -0.0230829
930 -0.0214266
940 -0.0155592
950 -0.0130679
960 -0.0145229
970 -0.0128529
980 0.00310426
990 0.00276867
1000 -0.00720687
1010 -0.00623493
1020 -0.00118677
1030 -0.000608927
1040 0.0018425
1050 0.00542337
1060 -0.00056582
1070 -0.00246689
1080 -0.00479807
1090 0.000948257
1100 0.00668716
1110 0.00325896
1120 -0.00794945
1130 -0.00438462
1140 0.00506781
1150 -0.00139149
1160 -0.0170764
1170 -0.0243383
1180 -0.0080418
1190 0.000234674
1200 -0.0157774
1210 -0.015758
1220 0.0221606
1230 0.0255477
1240 -0.00019115
1250 0.00516457
1260 0.0270883
1270 0.0155535
1280 -0.0156789
1290 -0.0162184
1300 -0.00076747
1310 0.00463765
1320 -0.016262
1330 -0.0127279
1340 0.0139753
1350 0.0203718
1360 -0.0117927
1370 -0.00861339
1380 0.0253029
1390 0.0161982
1400 -0.022867
1410 -0.0238854
1420 0.0134018
1430 0.0217306
1440 0.00185551
1450 -0.0115722
1460 0.0151264
1470 0.0255193
1480 0.00377026
1490 -0.0135247
1500 0.0122844
1510 0.0259342
1520 0.0110027
1530 0.0022729
1540 0.00840559
1550 0.0101923
1560 -0.00452934
1570 -0.00850053
1580 -0.00351184
1590 0.000953392
1600 -0.0111
1610 -0.00716483
1620 0.00820573
1630 0.0108138
1640 -0.00606196
1650 -0.00816142
